index,YEAR,EMPLOYER_POSTAL_CODE,EMPLOYER_POSTAL_CODE_OCCURRENCE,EMPLOYER_POSTAL_CODE_OCCURRENCE_LOG,MAJOR_EMPLOYER_POSTAL_CODE_OCCURRENCE,MAJOR_EMPLOYER_POSTAL_CODE_OCCURRENCE_LOG
823,2020,30024,253,25.0312052117582,10,11.0
824,2020,30043,47,17.7209785793572,2,4.01029995663981
825,2020,30062,31,15.9136169383427,10,11.0
826,2020,30071,85,20.2941892571429,24,14.8021124171161
827,2020,30083,3,5.77121254719662,1,1.0
828,2020,30084,15,12.7609125905568,2,4.01029995663981
829,2020,30092,181,23.5767857486918,8,10.0308998699194
830,2020,30096,634,29.0208925788173,14,12.4612803567824
831,2020,30097,142,22.5228834438306,4,7.02059991327962
832,2020,30144,27,15.3136376415899,3,5.77121254719662
833,2020,30228,1,1.0,1,1.0
834,2020,30241,4,7.02059991327962,1,1.0
835,2020,30269,6,8.78151250383644,1,1.0
836,2020,30303,65,19.1291335664286,2,4.01029995663981
837,2020,30308,62,18.9239168949825,1,1.0
838,2020,30326,53,18.2427586960079,2,4.01029995663981
839,2020,30328,693,29.4073323461181,4,7.02059991327962
840,2020,30332,68,19.3250891270624,4,7.02059991327962
841,2020,30339,686,29.3632411570675,3,5.77121254719662
842,2020,30340,16,13.0411998265592,3,5.77121254719662
843,2020,30346,123,21.899051114394,12,11.7918124604763
844,2020,30501,5,7.98970004336019,2,4.01029995663981
845,2020,30517,1,1.0,1,1.0
846,2020,30549,1,1.0,1,1.0
847,2020,30601,3,5.77121254719662,1,1.0
848,2020,30630,1,1.0,1,1.0
849,2020,30666,1,1.0,1,1.0
850,2020,31210,2,4.01029995663981,1,1.0
851,2020,31326,2,4.01029995663981,2,4.01029995663981
852,2020,31407,21,14.2221929473392,3,5.77121254719662
853,2020,32256,300,25.7712125471966,5,7.98970004336019
854,2020,32257,4,7.02059991327962,2,4.01029995663981
855,2020,32502,1,1.0,1,1.0
856,2020,32608,9,10.5424250943932,2,4.01029995663981
857,2020,32609,2,4.01029995663981,2,4.01029995663981
